"Region","Org Code","Provider name","Modality","Total_Scans","RequestToTest_Days","TestToReport_Days","Total_Turnaround_Days"
"Y58","RVJ","North Bristol NHS Trust","Fluoroscopy","12210.0","2.0","0.0","2.0"
"Y58","RVJ","North Bristol NHS Trust","Magnetic Resonance Imaging","47125.0","27.0","13.0","40.0"
"Y58","RVJ","North Bristol NHS Trust","Nuclear Medicine Procedure","4470.0","31.0","6.0","37.0"
"Y58","RVJ","North Bristol NHS Trust","Plain Radiography","212410.0","0.0","1.0","1.0"
"Y58","RVJ","North Bristol NHS Trust","Single Photon Emission Computerized Tomography","900.0","49.0","8.0","57.0"
"Y58","NT2","Nuffield Health","Computerized Axial Tomography","165.0","10.0","2.0","12.0"
"Y58","NT2","Nuffield Health","Diagnostic Ultrasonography","645.0","18.0","0.0","18.0"
"Y58","NT2","Nuffield Health","Fluoroscopy","635.0","8.0","0.0","8.0"
"Y58","NT2","Nuffield Health","Magnetic Resonance Imaging","970.0","12.0","2.0","14.0"
"Y58","NT2","Nuffield Health","Plain Radiography","5545.0","0.0","0.0","0.0"
"Y58","NTP","Practice Plus Group Holdings","Diagnostic Ultrasonography","4855.0","18.0","2.0","20.0"
"Y58","NTP","Practice Plus Group Holdings","Magnetic Resonance Imaging","2085.0","35.0","2.0","37.0"
"Y58","NTP","Practice Plus Group Holdings","Plain Radiography","22765.0","0.0","2.0","2.0"
"Y58","NVC","Ramsay Health Care UK Operations Limited","Computerized Axial Tomography","740.0","8.0","4.0","12.0"
"Y58","NVC","Ramsay Health Care UK Operations Limited","Diagnostic Ultrasonography","1410.0","10.0","0.0","10.0"
"Y58","NVC","Ramsay Health Care UK Operations Limited","Fluoroscopy","1880.0","0.0","0.0","0.0"
"Y58","NVC","Ramsay Health Care UK Operations Limited","Magnetic Resonance Imaging","3430.0","6.0","5.0","11.0"
"Y58","NVC","Ramsay Health Care UK Operations Limited","Plain Radiography","8845.0","0.0","2.0","2.0"
"Y58","REF","Royal Cornwall Hospitals NHS Trust","Computerized Axial Tomography","59845.0","4.0","0.0","4.0"
"Y58","REF","Royal Cornwall Hospitals NHS Trust","Diagnostic Ultrasonography","68320.0","13.0","0.0","13.0"
"Y58","REF","Royal Cornwall Hospitals NHS Trust","Fluoroscopy","12060.0","0.0","0.0","0.0"
"Y58","REF","Royal Cornwall Hospitals NHS Trust","Magnetic Resonance Imaging","38445.0","37.0","5.0","42.0"
"Y58","REF","Royal Cornwall Hospitals NHS Trust","Nuclear Medicine Procedure","6370.0","27.0","1.0","28.0"
"Y58","REF","Royal Cornwall Hospitals NHS Trust","Plain Radiography","221045.0","0.0","1.0","1.0"
"Y58","REF","Royal Cornwall Hospitals NHS Trust","Positron Emission Tomography","105.0","35.0","3.0","38.0"
"Y58","REF","Royal Cornwall Hospitals NHS Trust","Single Photon Emission Computerized Tomography","470.0","26.0","0.0","26.0"
"Y58","RH8","Royal Devon University Healthcare NHS Foundation Trust","Computerized Axial Tomography","71600.0","1.0","0.0","1.0"
"Y58","RH8","Royal Devon University Healthcare NHS Foundation Trust","Diagnostic Ultrasonography","63690.0","13.0","0.0","13.0"
"Y58","RH8","Royal Devon University Healthcare NHS Foundation Trust","Fluoroscopy","6575.0","6.0","0.0","6.0"
"Y58","RH8","Royal Devon University Healthcare NHS Foundation Trust","Magnetic Resonance Imaging","33705.0","35.0","3.0","38.0"
"Y58","RH8","Royal Devon University Healthcare NHS Foundation Trust","Nuclear Medicine Procedure","2220.0","15.0","1.0","16.0"
"Y58","RH8","Royal Devon University Healthcare NHS Foundation Trust","Plain Radiography","224785.0","0.0","1.0","1.0"
"Y58","RH8","Royal Devon University Healthcare NHS Foundation Trust","Positron Emission Tomography","1290.0","11.0","4.0","15.0"
"Y58","RH8","Royal Devon University Healthcare NHS Foundation Trust","Single Photon Emission Computerized Tomography","455.0","26.0","3.0","29.0"
"Y58","RD1","Royal United Hospitals Bath NHS Foundation Trust","Computerized Axial Tomography","53555.0","1.0","0.0","1.0"
"Y58","RD1","Royal United Hospitals Bath NHS Foundation Trust","Diagnostic Ultrasonography","70940.0","20.0","0.0","20.0"
"Y58","RD1","Royal United Hospitals Bath NHS Foundation Trust","Fluoroscopy","6195.0","0.0","0.0","0.0"
"Y58","RD1","Royal United Hospitals Bath NHS Foundation Trust","Magnetic Resonance Imaging","19405.0","16.0","3.0","19.0"
"Y58","RD1","Royal United Hospitals Bath NHS Foundation Trust","Nuclear Medicine Procedure","2905.0","33.0","2.0","35.0"
"Y58","RD1","Royal United Hospitals Bath NHS Foundation Trust","Plain Radiography","164725.0","0.0","1.0","1.0"
"Y58","RD1","Royal United Hospitals Bath NHS Foundation Trust","Positron Emission Tomography","1940.0","14.0","2.0","16.0"
"Y58","RD1","Royal United Hospitals Bath NHS Foundation Trust","Single Photon Emission Computerized Tomography","50.0","44.0","5.0","49.0"
"Y58","RNZ","Salisbury NHS Foundation Trust","Computerized Axial Tomography","33095.0","1.0","0.0","1.0"
"Y58","RNZ","Salisbury NHS Foundation Trust","Diagnostic Ultrasonography","67150.0","13.0","0.0","13.0"
"Y58","RNZ","Salisbury NHS Foundation Trust","Fluoroscopy","4680.0","0.0","0.0","0.0"
"Y58","RNZ","Salisbury NHS Foundation Trust","Magnetic Resonance Imaging","14895.0","19.0","2.0","21.0"
"Y58","RNZ","Salisbury NHS Foundation Trust","Medical Photography","2665.0","0.0","3.0","3.0"
"Y58","RNZ","Salisbury NHS Foundation Trust","Nuclear Medicine Procedure","1015.0","14.0","1.0","15.0"
"Y58","RNZ","Salisbury NHS Foundation Trust","Plain Radiography","102150.0","0.0","1.0","1.0"
"Y58","RH5","Somerset NHS Foundation Trust","Computerized Axial Tomography","62040.0","1.0","0.0","1.0"
"Y58","RH5","Somerset NHS Foundation Trust","Diagnostic Ultrasonography","109355.0","8.0","0.0","8.0"
"Y58","RH5","Somerset NHS Foundation Trust","Fluoroscopy","10140.0","0.0","0.0","0.0"
"Y58","RH5","Somerset NHS Foundation Trust","Magnetic Resonance Imaging","27260.0","15.0","1.0","16.0"
"Y58","RH5","Somerset NHS Foundation Trust","Nuclear Medicine Procedure","620.0","35.0","4.0","39.0"
"Y58","RH5","Somerset NHS Foundation Trust","Plain Radiography","210130.0","0.0","1.0","1.0"
"Y58","RH5","Somerset NHS Foundation Trust","Positron Emission Tomography","200.0","8.0","13.0","21.0"
"Y58","NT3","Spire Healthcare","Computerized Axial Tomography","55.0","11.0","1.0","12.0"
"Y58","NT3","Spire Healthcare","Diagnostic Ultrasonography","220.0","36.0","0.0","36.0"
"Y58","NT3","Spire Healthcare","Fluoroscopy","165.0","27.0","0.0","27.0"
"Y58","NT3","Spire Healthcare","Magnetic Resonance Imaging","400.0","13.0","1.0","14.0"
"Y58","NT3","Spire Healthcare","Plain Radiography","2915.0","0.0","1.0","1.0"
"Y58","RA9","Torbay and South Devon NHS Foundation Trust","Computerized Axial Tomography","36930.0","1.0","0.0","1.0"
"Y58","RA9","Torbay and South Devon NHS Foundation Trust","Diagnostic Ultrasonography","40470.0","12.0","0.0","12.0"
"Y58","RA9","Torbay and South Devon NHS Foundation Trust","Fluoroscopy","7180.0","0.0","0.0","0.0"
"Y58","RA9","Torbay and South Devon NHS Foundation Trust","Magnetic Resonance Imaging","16425.0","20.0","3.0","23.0"
"Y58","RA9","Torbay and South Devon NHS Foundation Trust","Nuclear Medicine Procedure","1625.0","20.0","1.0","21.0"
"Y58","RA9","Torbay and South Devon NHS Foundation Trust","Plain Radiography","104485.0","0.0","0.0","0.0"
"Y58","RA9","Torbay and South Devon NHS Foundation Trust","Positron Emission Tomography","1055.0","12.0","2.0","14.0"
"Y58","RA9","Torbay and South Devon NHS Foundation Trust","Single Photon Emission Computerized Tomography","85.0","124.5","5.5","130.0"
"Y58","RA7","University Hospitals Bristol and Weston NHS Foundation Trust","Computerized Axial Tomography","91780.0","0.0","0.0","0.0"
"Y58","RA7","University Hospitals Bristol and Weston NHS Foundation Trust","Diagnostic Ultrasonography","124210.0","18.0","0.0","18.0"
"Y58","RA7","University Hospitals Bristol and Weston NHS Foundation Trust","Fluoroscopy","17495.0","0.0","1.0","1.0"
"Y58","RA7","University Hospitals Bristol and Weston NHS Foundation Trust","Magnetic Resonance Imaging","42190.0","27.0","2.0","29.0"
"Y58","RA7","University Hospitals Bristol and Weston NHS Foundation Trust","Nuclear Medicine Procedure","4420.0","43.0","6.0","49.0"
"Y58","RA7","University Hospitals Bristol and Weston NHS Foundation Trust","Plain Radiography","218640.0","0.0","1.0","1.0"
"Y58","RA7","University Hospitals Bristol and Weston NHS Foundation Trust","Positron Emission Tomography","2660.0","16.0","4.0","20.0"
"Y58","RA7","University Hospitals Bristol and Weston NHS Foundation Trust","Single Photon Emission Computerized Tomography","275.0","35.0","6.0","41.0"
"Y58","R0D","University Hospitals Dorset NHS Foundation Trust","Computerized Axial Tomography","78380.0","0.0","0.0","0.0"
"Y58","R0D","University Hospitals Dorset NHS Foundation Trust","Diagnostic Ultrasonography","79920.0","20.0","0.0","20.0"
"Y58","R0D","University Hospitals Dorset NHS Foundation Trust","Fluoroscopy","6640.0","1.0","0.0","1.0"
"Y58","R0D","University Hospitals Dorset NHS Foundation Trust","Magnetic Resonance Imaging","32570.0","22.0","2.0","24.0"
"Y58","R0D","University Hospitals Dorset NHS Foundation Trust","Nuclear Medicine Procedure","4045.0","22.0","1.0","23.0"
"Y58","R0D","University Hospitals Dorset NHS Foundation Trust","Plain Radiography","201430.0","0.0","1.0","1.0"
"Y58","R0D","University Hospitals Dorset NHS Foundation Trust","Positron Emission Tomography","1445.0","17.0","0.0","17.0"
"Y58","R0D","University Hospitals Dorset NHS Foundation Trust","Single Photon Emission Computerized Tomography","725.0","28.0","2.0","30.0"
"Y58","RK9","University Hospitals Plymouth NHS Trust","Computerized Axial Tomography","93630.0","1.0","0.0","1.0"
"Y58","RK9","University Hospitals Plymouth NHS Trust","Diagnostic Ultrasonography","104215.0","3.0","0.0","3.0"
"Y58","RK9","University Hospitals Plymouth NHS Trust","Fluoroscopy","13895.0","0.0","0.0","0.0"
"Y58","RK9","University Hospitals Plymouth NHS Trust","Magnetic Resonance Imaging","33875.0","23.0","3.0","26.0"
"Y58","RK9","University Hospitals Plymouth NHS Trust","Nuclear Medicine Procedure","4970.0","27.0","0.0","27.0"
"Y58","RK9","University Hospitals Plymouth NHS Trust","Plain Radiography","193290.0","0.0","3.0","3.0"
"Y58","RK9","University Hospitals Plymouth NHS Trust","Positron Emission Tomography","2300.0","10.0","1.0","11.0"
"Y58","RK9","University Hospitals Plymouth NHS Trust","Single Photon Emission Computerized Tomography","630.0","5.0","0.0","5.0"
"Y59","NT9","Alliance Medical","Computerized Axial Tomography","5.0","20.0","2.0","22.0"
"Y59","NT9","Alliance Medical","Magnetic Resonance Imaging","38880.0","24.0","4.0","28.0"
"Y59","NT9","Alliance Medical","Plain Radiography","15.0","21.0","",""
"Y59","NT9","Alliance Medical","Positron Emission Tomography","25530.0","13.0","1.0","14.0"
"Y59","RTK","Ashford and St Peter's Hospitals NHS Foundation Trust","Computerized Axial Tomography","47380.0","0.0","0.0","0.0"
"Y59","RTK","Ashford and St Peter's Hospitals NHS Foundation Trust","Diagnostic Ultrasonography","79325.0","13.0","0.0","13.0"
"Y59","RTK","Ashford and St Peter's Hospitals NHS Foundation Trust","Fluoroscopy","5025.0","4.0","0.0","4.0"
"Y59","RTK","Ashford and St Peter's Hospitals NHS Foundation Trust","Magnetic Resonance Imaging","25195.0","29.0","4.0","33.0"
"Y59","RTK","Ashford and St Peter's Hospitals NHS Foundation Trust","Plain Radiography","122075.0","0.0","1.0","1.0"
"Y59","RTK","Ashford and St Peter's Hospitals NHS Foundation Trust","Positron Emission Tomography","810.0","11.0","3.0","14.0"
"Y59","RXQ","Buckinghamshire Healthcare NHS Trust","Computerized Axial Tomography","42110.0","1.0","0.0","1.0"
"Y59","RXQ","Buckinghamshire Healthcare NHS Trust","Diagnostic Ultrasonography","58415.0","13.0","0.0","13.0"
"Y59","RXQ","Buckinghamshire Healthcare NHS Trust","Fluoroscopy","4340.0","0.0","0.0","0.0"
"Y59","RXQ","Buckinghamshire Healthcare NHS Trust","Magnetic Resonance Imaging","21945.0","13.0","5.0","18.0"
"Y59","RXQ","Buckinghamshire Healthcare NHS Trust","Nuclear Medicine Procedure","1320.0","19.0","1.0","20.0"
"Y59","RXQ","Buckinghamshire Healthcare NHS Trust","Plain Radiography","119910.0","0.0","3.0","3.0"
"Y59","NT4","Circle Health Group Limited","Computerized Axial Tomography","1905.0","6.0","0.0","6.0"
"Y59","NT4","Circle Health Group Limited","Diagnostic Ultrasonography","1030.0","8.0","0.0","8.0"
"Y59","NT4","Circle Health Group Limited","Fluoroscopy","15.0","15.0","4.5","19.5"
"Y59","NT4","Circle Health Group Limited","Magnetic Resonance Imaging","8970.0","8.0","1.0","9.0"
"Y59","NT4","Circle Health Group Limited","Nuclear Medicine Procedure","175.0","15.0","0.0","15.0"
"Y59","NT4","Circle Health Group Limited","Plain Radiography","2675.0","22.0","1.0","23.0"
"Y59","NTV","CSH Surrey","Plain Radiography","24085.0","3.0","0.0","3.0"
"Y59","RN7","Dartford and Gravesham NHS Trust","Computerized Axial Tomography","51485.0","0.0","0.0","0.0"
"Y59","RN7","Dartford and Gravesham NHS Trust","Diagnostic Ultrasonography","83075.0","18.0","0.0","18.0"
"Y59","RN7","Dartford and Gravesham NHS Trust","Fluoroscopy","5645.0","0.0","0.0","0.0"
"Y59","RN7","Dartford and Gravesham NHS Trust","Magnetic Resonance Imaging","29480.0","14.0","6.0","20.0"
"Y59","RN7","Dartford and Gravesham NHS Trust","Nuclear Medicine Procedure","2925.0","30.0","1.0","31.0"
"Y59","RN7","Dartford and Gravesham NHS Trust","Plain Radiography","162700.0","0.0","0.0","0.0"
"Y59","RN7","Dartford and Gravesham NHS Trust","Positron Emission Tomography","45.0","13.5","3.0","16.5"
"Y59","RN7","Dartford and Gravesham NHS Trust","Single Photon Emission Computerized Tomography","375.0","38.0","3.0","41.0"
"Y59","RVV","East Kent Hospitals University NHS Foundation Trust","Computerized Axial Tomography","115015.0","1.0","0.0","1.0"
"Y59","RVV","East Kent Hospitals University NHS Foundation Trust","Diagnostic Ultrasonography","104435.0","11.0","0.0","11.0"
"Y59","RVV","East Kent Hospitals University NHS Foundation Trust","Fluoroscopy","18350.0","0.0","0.0","0.0"
"Y59","RVV","East Kent Hospitals University NHS Foundation Trust","Magnetic Resonance Imaging","81195.0","35.0","5.0","40.0"
"Y59","RVV","East Kent Hospitals University NHS Foundation Trust","Nuclear Medicine Procedure","4485.0","26.0","1.0","27.0"
"Y59","RVV","East Kent Hospitals University NHS Foundation Trust","Plain Radiography","292365.0","0.0","1.0","1.0"
"Y59","RVV","East Kent Hospitals University NHS Foundation Trust","Positron Emission Tomography","4330.0","13.0","1.0","14.0"
"Y59","RVV","East Kent Hospitals University NHS Foundation Trust","Single Photon Emission Computerized Tomography","455.0","30.0","3.0","33.0"
"Y59","RXC","East Sussex Healthcare NHS Trust","Computerized Axial Tomography","81310.0","1.0","0.0","1.0"
"Y59","RXC","East Sussex Healthcare NHS Trust","Diagnostic Ultrasonography","67920.0","13.0","0.0","13.0"
"Y59","RXC","East Sussex Healthcare NHS Trust","Fluoroscopy","6735.0","0.0","0.0","0.0"
"Y59","RXC","East Sussex Healthcare NHS Trust","Magnetic Resonance Imaging","32275.0","18.0","5.0","23.0"
"Y59","RXC","East Sussex Healthcare NHS Trust","Nuclear Medicine Procedure","3695.0","51.0","7.0","58.0"
"Y59","RXC","East Sussex Healthcare NHS Trust","Plain Radiography","139625.0","0.0","1.0","1.0"
"Y59","RXC","East Sussex Healthcare NHS Trust","Positron Emission Tomography","","","",""
"Y59","RXC","East Sussex Healthcare NHS Trust","Single Photon Emission Computerized Tomography","1810.0","21.0","3.0","24.0"
"Y59","NVM","Epsomedical Group","Diagnostic Ultrasonography","1685.0","27.0","0.0","27.0"
"Y59","NVM","Epsomedical Group","Plain Radiography","2185.0","14.0","1.0","15.0"
"Y59","RDU","Frimley Health NHS Foundation Trust","Computerized Axial Tomography","95450.0","1.0","0.0","1.0"
"Y59","RDU","Frimley Health NHS Foundation Trust","Diagnostic Ultrasonography","168260.0","19.0","0.0","19.0"
"Y59","RDU","Frimley Health NHS Foundation Trust","Fluoroscopy","8890.0","9.0","0.0","9.0"
"Y59","RDU","Frimley Health NHS Foundation Trust","Magnetic Resonance Imaging","43775.0","8.0","3.0","11.0"
"Y59","RDU","Frimley Health NHS Foundation Trust","Nuclear Medicine Procedure","2065.0","17.0","1.0","18.0"
"Y59","RDU","Frimley Health NHS Foundation Trust","Plain Radiography","304935.0","0.0","0.0","0.0"
"Y59","RDU","Frimley Health NHS Foundation Trust","Single Photon Emission Computerized Tomography","230.0","34.0","1.0","35.0"
"Y59","RW1","Hampshire and Isle of Wight Healthcare NHS Foundation Trust","Computerized Axial Tomography","8960.0","18.0","4.0","22.0"
"Y59","RW1","Hampshire and Isle of Wight Healthcare NHS Foundation Trust","Diagnostic Ultrasonography","18915.0","24.0","0.0","24.0"
"Y59","RW1","Hampshire and Isle of Wight Healthcare NHS Foundation Trust","Fluoroscopy","350.0","12.0","0.0","12.0"
"Y59","RW1","Hampshire and Isle of Wight Healthcare NHS Foundation Trust","Magnetic Resonance Imaging","10370.0","23.0","5.0","28.0"
"Y59","RW1","Hampshire and Isle of Wight Healthcare NHS Foundation Trust","Plain Radiography","43895.0","7.0","1.0","8.0"
"Y59","RW1","Hampshire and Isle of Wight Healthcare NHS Foundation Trust","Positron Emission Tomography","","","",""
"Y59","RW1","Hampshire and Isle of Wight Healthcare NHS Foundation Trust","Single Photon Emission Computerized Tomography","5.0","24.0","6.0","30.0"
"Y59","RN5","Hampshire Hospitals NHS Foundation Trust","Computerized Axial Tomography","62265.0","1.0","0.0","1.0"
"Y59","RN5","Hampshire Hospitals NHS Foundation Trust","Diagnostic Ultrasonography","62145.0","16.0","0.0","16.0"
"Y59","RN5","Hampshire Hospitals NHS Foundation Trust","Fluoroscopy","8995.0","0.0","0.0","0.0"
"Y59","RN5","Hampshire Hospitals NHS Foundation Trust","Magnetic Resonance Imaging","27690.0","18.0","5.0","23.0"
"Y59","RN5","Hampshire Hospitals NHS Foundation Trust","Nuclear Medicine Procedure","1430.0","16.0","1.0","17.0"
"Y59","RN5","Hampshire Hospitals NHS Foundation Trust","Plain Radiography","162735.0","0.0","1.0","1.0"
"Y59","RN5","Hampshire Hospitals NHS Foundation Trust","Positron Emission Tomography","1065.0","0.0","2.0","2.0"
"Y59","RN5","Hampshire Hospitals NHS Foundation Trust","Single Photon Emission Computerized Tomography","570.0","30.0","1.0","31.0"
"Y59","NYR","Healthshare Diagnostics","Diagnostic Ultrasonography","17070.0","17.0","0.0","17.0"
"Y59","NYR","Healthshare Diagnostics","Magnetic Resonance Imaging","680.0","10.0","3.0","13.0"
"Y59","NYR","Healthshare Diagnostics","Plain Radiography","290.0","20.0","3.0","23.0"
"Y59","NMK","Healthshare Ltd","Computerized Axial Tomography","","","",""
"Y59","NMK","Healthshare Ltd","Diagnostic Ultrasonography","2420.0","62.0","4.0","66.0"
"Y59","NMK","Healthshare Ltd","Magnetic Resonance Imaging","5.0","30.0","12.0","42.0"
"Y59","NV1","Inhealth Limited","Computerized Axial Tomography","200.0","35.0","0.0","35.0"
"Y59","NV1","Inhealth Limited","Diagnostic Ultrasonography","560.0","27.0","0.0","27.0"
"Y59","NV1","Inhealth Limited","Magnetic Resonance Imaging","525.0","39.0","1.0","40.0"
"Y59","NV1","Inhealth Limited","Positron Emission Tomography","85.0","10.0","2.0","12.0"
"Y59","R1F","Isle of Wight NHS Trust","Computerized Axial Tomography","29830.0","0.0","0.0","0.0"
"Y59","R1F","Isle of Wight NHS Trust","Diagnostic Ultrasonography","20410.0","9.0","0.0","9.0"
"Y59","R1F","Isle of Wight NHS Trust","Fluoroscopy","1365.0","0.0","0.0","0.0"
"Y59","R1F","Isle of Wight NHS Trust","Magnetic Resonance Imaging","9880.0","6.0","2.0","8.0"
"Y59","R1F","Isle of Wight NHS Trust","Plain Radiography","67070.0","0.0","2.0","2.0"
"Y59","RYY","Kent Community Health NHS Foundation Trust","Plain Radiography","7525.0","0.0","0.0","0.0"
"Y59","RWF","Maidstone and Tunbridge Wells NHS Trust","Computerized Axial Tomography","86520.0","0.0","0.0","0.0"
"Y59","RWF","Maidstone and Tunbridge Wells NHS Trust","Diagnostic Ultrasonography","104890.0","11.0","0.0","11.0"
"Y59","RWF","Maidstone and Tunbridge Wells NHS Trust","Fluoroscopy","8135.0","1.0","0.0","1.0"
"Y59","RWF","Maidstone and Tunbridge Wells NHS Trust","Magnetic Resonance Imaging","52810.0","10.0","5.0","15.0"
"Y59","RWF","Maidstone and Tunbridge Wells NHS Trust","Nuclear Medicine Procedure","5505.0","20.0","1.0","21.0"
"Y59","RWF","Maidstone and Tunbridge Wells NHS Trust","Plain Radiography","199980.0","0.0","1.0","1.0"
"Y59","RWF","Maidstone and Tunbridge Wells NHS Trust","Positron Emission Tomography","3325.0","0.0","4.0","4.0"
"Y59","RWF","Maidstone and Tunbridge Wells NHS Trust","Single Photon Emission Computerized Tomography","1070.0","14.0","1.0","15.0"
"Y59","RPA","Medway NHS Foundation Trust","Computerized Axial Tomography","48010.0","1.0","0.0","1.0"
"Y59","RPA","Medway NHS Foundation Trust","Diagnostic Ultrasonography","53890.0","16.0","0.0","16.0"
"Y59","RPA","Medway NHS Foundation Trust","Fluoroscopy","6165.0","0.0","0.0","0.0"
"Y59","RPA","Medway NHS Foundation Trust","Magnetic Resonance Imaging","33255.0","23.0","4.0","27.0"
"Y59","RPA","Medway NHS Foundation Trust","Plain Radiography","147365.0","0.0","1.0","1.0"
"Y59","NT2","Nuffield Health","Computerized Axial Tomography","565.0","8.0","1.0","9.0"
"Y59","NT2","Nuffield Health","Diagnostic Ultrasonography","1030.0","9.0","0.0","9.0"
"Y59","NT2","Nuffield Health","Fluoroscopy","80.0","0.0","0.0","0.0"
"Y59","NT2","Nuffield Health","Magnetic Resonance Imaging","1705.0","7.0","3.0","10.0"
"Y59","NT2","Nuffield Health","Plain Radiography","5300.0","0.0","1.0","1.0"
"Y59","RTH","Oxford University Hospitals NHS Foundation Trust","Computerized Axial Tomography","124175.0","0.0","0.0","0.0"
"Y59","RTH","Oxford University Hospitals NHS Foundation Trust","Diagnostic Ultrasonography","107820.0","20.0","0.0","20.0"
"Y59","RTH","Oxford University Hospitals NHS Foundation Trust","Fluoroscopy","21405.0","0.0","0.0","0.0"
"Y59","RTH","Oxford University Hospitals NHS Foundation Trust","Magnetic Resonance Imaging","67200.0","34.0","5.0","39.0"
"Y59","RTH","Oxford University Hospitals NHS Foundation Trust","Nuclear Medicine Procedure","3485.0","28.0","3.0","31.0"
"Y59","RTH","Oxford University Hospitals NHS Foundation Trust","Plain Radiography","308660.0","0.0","2.0","2.0"
"Y59","RTH","Oxford University Hospitals NHS Foundation Trust","Positron Emission Tomography","5835.0","25.0","3.0","28.0"
"Y59","RTH","Oxford University Hospitals NHS Foundation Trust","Single Photon Emission Computerized Tomography","245.0","52.0","2.0","54.0"
"Y59","AVQ","Phoenix Hospital Group","Magnetic Resonance Imaging","470.0","48.0","13.0","61.0"
"Y59","RHU","Portsmouth Hospitals University NHS Trust","Computerized Axial Tomography","76480.0","1.0","0.0","1.0"
"Y59","RHU","Portsmouth Hospitals University NHS Trust","Diagnostic Ultrasonography","92810.0","16.0","0.0","16.0"
"Y59","RHU","Portsmouth Hospitals University NHS Trust","Fluoroscopy","13185.0","0.0","0.0","0.0"
"Y59","RHU","Portsmouth Hospitals University NHS Trust","Magnetic Resonance Imaging","34180.0","22.0","6.0","28.0"
"Y59","RHU","Portsmouth Hospitals University NHS Trust","Nuclear Medicine Procedure","3010.0","21.0","1.0","22.0"
"Y59","RHU","Portsmouth Hospitals University NHS Trust","Plain Radiography","175175.0","0.0","1.0","1.0"
"Y59","RHU","Portsmouth Hospitals University NHS Trust","Positron Emission Tomography","1690.0","11.0","1.0","12.0"
"Y59","RHU","Portsmouth Hospitals University NHS Trust","Single Photon Emission Computerized Tomography","505.0","37.0","5.0","42.0"
"Y59","NTP","Practice Plus Group Holdings","Diagnostic Ultrasonography","35970.0","20.0","2.0","22.0"
"Y59","NTP","Practice Plus Group Holdings","Fluoroscopy","55.0","14.5","2.0","16.5"
"Y59","NTP","Practice Plus Group Holdings","Magnetic Resonance Imaging","10950.0","26.0","2.0","28.0"
"Y59","NTP","Practice Plus Group Holdings","Plain Radiography","47010.0","4.0","2.0","6.0"
"Y59","RPC","Queen Victoria Hospital NHS Foundation Trust","Computerized Axial Tomography","2730.0","13.0","3.0","16.0"
"Y59","RPC","Queen Victoria Hospital NHS Foundation Trust","Diagnostic Ultrasonography","11275.0","22.0","0.0","22.0"
"Y59","RPC","Queen Victoria Hospital NHS Foundation Trust","Fluoroscopy","370.0","4.0","2.0","6.0"
"Y59","RPC","Queen Victoria Hospital NHS Foundation Trust","Magnetic Resonance Imaging","2385.0","12.0","5.0","17.0"
"Y59","RPC","Queen Victoria Hospital NHS Foundation Trust","Nuclear Medicine Procedure","165.0","27.0","1.0","28.0"
"Y59","RPC","Queen Victoria Hospital NHS Foundation Trust","Plain Radiography","16640.0","0.0","1.0","1.0"
"Y59","RPC","Queen Victoria Hospital NHS Foundation Trust","Positron Emission Tomography","70.0","10.0","4.0","14.0"
"Y59","RPC","Queen Victoria Hospital NHS Foundation Trust","Single Photon Emission Computerized Tomography","165.0","27.0","1.0","28.0"
"Y59","NVC","Ramsay Health Care UK Operations Limited","Computerized Axial Tomography","375.0","0.0","1.0","1.0"
"Y59","NVC","Ramsay Health Care UK Operations Limited","Diagnostic Ultrasonography","5245.0","11.0","0.0","11.0"
"Y59","NVC","Ramsay Health Care UK Operations Limited","Fluoroscopy","1225.0","0.0","0.0","0.0"
"Y59","NVC","Ramsay Health Care UK Operations Limited","Magnetic Resonance Imaging","3430.0","6.0","1.0","7.0"
"Y59","NVC","Ramsay Health Care UK Operations Limited","Nuclear Medicine Procedure","","","",""
"Y59","NVC","Ramsay Health Care UK Operations Limited","Plain Radiography","9275.0","0.0","0.0","0.0"
"Y59","RHW","Royal Berkshire NHS Foundation Trust","Computerized Axial Tomography","57665.0","1.0","0.0","1.0"
"Y59","RHW","Royal Berkshire NHS Foundation Trust","Diagnostic Ultrasonography","38580.0","15.0","0.0","15.0"
"Y59","RHW","Royal Berkshire NHS Foundation Trust","Fluoroscopy","4395.0","17.0","0.0","17.0"
"Y59","RHW","Royal Berkshire NHS Foundation Trust","Magnetic Resonance Imaging","29725.0","17.0","4.0","21.0"
"Y59","RHW","Royal Berkshire NHS Foundation Trust","Nuclear Medicine Procedure","1845.0","10.0","4.0","14.0"
"Y59","RHW","Royal Berkshire NHS Foundation Trust","Plain Radiography","188410.0","0.0","1.0","1.0"
"Y59","RA2","Royal Surrey County Hospital NHS Foundation Trust","Computerized Axial Tomography","47580.0","0.0","0.0","0.0"
"Y59","RA2","Royal Surrey County Hospital NHS Foundation Trust","Diagnostic Ultrasonography","54760.0","23.0","0.0","23.0"
"Y59","RA2","Royal Surrey County Hospital NHS Foundation Trust","Fluoroscopy","2825.0","5.0","0.0","5.0"
"Y59","RA2","Royal Surrey County Hospital NHS Foundation Trust","Magnetic Resonance Imaging","22985.0","26.0","5.0","31.0"
"Y59","RA2","Royal Surrey County Hospital NHS Foundation Trust","Medical Photography","4850.0","0.0","27.0","27.0"
"Y59","RA2","Royal Surrey County Hospital NHS Foundation Trust","Nuclear Medicine Procedure","4665.0","34.0","2.0","36.0"
"Y59","RA2","Royal Surrey County Hospital NHS Foundation Trust","Plain Radiography","107620.0","0.0","3.0","3.0"
